typeConcours;niveau;echelle;millesime;laureat;ordre;prix;sexeCode;sexe;prenom;nom;prenomNom;idRef;lienIdRef;videoMaTheseEn180Secondes;video;titreThese;lienVersThesesFr;CodeLaboratoire;laboratoire;codeEtablissement;etablissement;latitudeEtablissement;longitudeEtablissement;ficheScanR;siteInternetMT180;blogMT180;twitterMT180;facebookMT180;youtubeMT180
MT180;Finale;National;2015;Lauréat;3;Troisième prix du jury;M;Masculin;Grégory;PACINI;Grégory PACINI;;;https://www.youtube.com/watch?v=FzDDfHxMg4k;https://www.youtube.com/embed/FzDDfHxMg4k;Cofacteurs cellulaires du facteur de restriction virale BST2/Tetherin : Rôle physiologique dans la fonction de BST2 et sa modulation par les protéines virales Vpu et Nef;http://www.theses.fr/s115454;200217519N;Institut Cochin;0755598C;Université Sorbonne Paris Cité;48.836066;2.37187;https://scanr.enseignementsup-recherche.gouv.fr/structure/200217519N;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;Lauréat;2;"Deuxième prix du jury;Prix du public";M;Masculin;Bertrand;COCHARD;Bertrand COCHARD;;;https://www.youtube.com/watch?v=96loSvYH-sE;https://www.youtube.com/embed/96loSvYH-sE;Figures de l'alienation dans l'oeuvre de Guy Debord;http://www.theses.fr/s159199;200815548V;Centre de Recherche en Histoire des Idées;0062126D;Université Côte d'Azur;43.716324;7.269781;https://scanr.enseignementsup-recherche.gouv.fr/structure/200815548V;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;F;Féminin;Perrine;BERMENT;Perrine BERMENT;195088557;http://www.idref.fr/195088557;https://www.youtube.com/watch?v=Su2cPSUwL1U;https://www.youtube.com/embed/Su2cPSUwL1U;Modélisation mathématiques de tumeurs cérébrales de bas grade et assimilation de données cliniques d'imagerie;http://www.theses.fr/s134777;200711916B;Institut de Mathématiques de Bordeaux;0333178A;Communauté d'universités et établissements d'Aquitaine;44.825325;-0.577763;https://scanr.enseignementsup-recherche.gouv.fr/structure/200711916B;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Charlotte;ROY;Charlotte ROY;20083388X;http://www.idref.fr/20083388X;https://www.youtube.com/watch?v=X4ioSjEdot4;https://www.youtube.com/embed/X4ioSjEdot4;Effet de la stimulation rythmique audio-tactile sur les mouvements de coordination;http://www.theses.fr/s142603;199914310N;Centre Européen de Recherche sur le Mouvement Humain;0342255S;Languedoc-Roussillon Universités;43.615855;3.871992;https://scanr.enseignementsup-recherche.gouv.fr/structure/199914310N;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Justine;CRUZ;Justine CRUZ;;;https://www.youtube.com/watch?v=c4-vAk2JZME;https://www.youtube.com/embed/c4-vAk2JZME;Etude de la contamination par les pesticides des milieux eau, air et sols : développement de nouveaux outils et application à l’estuaire de la Gironde;http://www.theses.fr/2015BORD0221;199512085M;Environnements et Paléoenvironnements Océaniques et Continentaux;0333178A;Communauté d'universités et établissements d'Aquitaine;44.825325;-0.577763;https://scanr.enseignementsup-recherche.gouv.fr/structure/199512085M;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;M;Masculin;Geoffrey;DUMONTEIL;Geoffrey DUMONTEIL;194701158;http://www.idref.fr/194701158;https://www.youtube.com/watch?v=T0Fi8KOEo84;https://www.youtube.com/embed/T0Fi8KOEo84;Synthèse et pharmacomodulation de composés naturels;;201220206R;Institut de Chimie Organique et Analytique;0861420B;Université confédérale Léonard de Vinci;46.586013;0.345772;https://scanr.enseignementsup-recherche.gouv.fr/structure/201220206R;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;F;Féminin;Laurie-Anne;SAPEY-TRIOMPHE;Laurie-Anne SAPEY-TRIOMPHE;;;https://www.youtube.com/watch?v=5ih33Y1GSzk;https://www.youtube.com/embed/5ih33Y1GSzk;Inférence et apprentissage perceptifs dans l'autisme : une approche neurophysiologique et comportementale;http://www.theses.fr/s101896;201119399T;Centre de Recherche en Neurosciences de Lyon;0694094A;Université de Lyon;45.748414;4.836668;https://scanr.enseignementsup-recherche.gouv.fr/structure/201119399T;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2015;;;;M;Masculin;Than;NHAT PHAM;Than NHAT PHAM;;;https://www.youtube.com/watch?v=8ZCS6p9mhGk;https://www.youtube.com/embed/8ZCS6p9mhGk;Caractérisation et modélisation du comportement thermodynamique du combustible RNR-Na sous irradiation;http://www.theses.fr/2014AIXM4044;200815504X;Fonctions et Dysfonctions Épithéliales;0251985X;Université Bourgogne - Franche-Comté;47.248103;5.991326;https://scanr.enseignementsup-recherche.gouv.fr/structure/200815504X;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2016;;;;M;Masculin;Thomas;PERROT;Thomas PERROT;;;https://www.youtube.com/watch?v=oMGMg051A4Y;https://www.youtube.com/embed/oMGMg051A4Y;Diversité fonctionnelle des systèmes de détoxication des champignons lignolytiques;;200117307M;Interactions Arbres/Micro-Organismes;0542493S;Université de Lorraine;48.6962;6.17634;https://scanr.enseignementsup-recherche.gouv.fr/structure/200117307M;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
MT180;Finale;National;2017;;;;F;Féminin;Camille;JACQUELINE;Camille JACQUELINE;;;https://www.youtube.com/watch?v=HCRb308MXb8;https://www.youtube.com/embed/HCRb308MXb8;Communauté d'agents pathogènes et incidence des cancers : Le rôle de l'écologie du système immunitaire.;http://www.theses.fr/s152606;201119437J;Maladies Infectieuses et Vecteurs : Écologie, Génétique, Évolution et Contrôle;0342255S;Languedoc-Roussillon Universités;43.615855;3.871992;https://scanr.enseignementsup-recherche.gouv.fr/structure/201119437J;http://mt180.fr/;http://blog.mt180.fr/;https://twitter.com/MT180FR;https://www.facebook.com/MT180France/;https://www.youtube.com/channel/UCvWoYjTzOe-dC0xFNQI-TGg
